Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.007;20;Ingresos de Vigencias Anteriores - Propios;0;$ 3,436,150.00;$ 28,920,876.00;$ 940,000.00;$ 0.00;$ 0.00;$ 1,367,638.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;0;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 11,554,400.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;0;$ 398,400.00;$ 980,800.00;$ 0.00;$ 0.00;$ 429,100.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;0;$ 1,114,800.00;$ 231,100.00;$ 0.00;$ 0.00;$ 105,100.00;$ 0.00;$ 84,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
05 - CIENCIAS BASICAS;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;25044900;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 25,044,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;11310600;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 17,773,800.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;0;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 4,473,300.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
09 - INGENIERIA;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;94437340.8;$ 0.00;$ 0.00;$ 8,745,650.00;$ 28,570,214.40;$ 928,665.60;$ 113,824,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
10 - DERECHO Y CIENCIAS SOCIALES;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;43357500;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 43,895,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
12 - SECCIONAL DUITAMA;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;38874617;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 53,081,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
13 - SECCIONAL SOGAMOSO;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;39540000;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 43,043,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;0;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 7,615,400.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;0;$ 0.00;$ 225,000.00;$ 0.00;$ 0.00;$ 0.00;$ 135,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
