Unidad;Código concepto;Concepto;Recurso;Valor inicial;Valor aforo;Total recaudo;Fecha final
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 2,342,000.00;$ 2,342,000.00;$ 8,595,200.00;25/08/2026
08 - CIENCIAS AGROPECUARIAS;1.2.13.01.004;Ingresos de Vigencias Anteriores - Extension;31-Posgrados;$ 0.00;$ 0.00;$ 17,762,500.00;25/08/2026
09 - INGENIERIA;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 0.00;$ 0.00;$ 140,387,100.00;25/08/2026
09 - INGENIERIA;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 0.00;$ 0.00;$ 149,097,600.00;25/08/2026
09 - INGENIERIA;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 7,974,390,060.00;$ 8,314,839,994.87;$ 7,071,190,129.00;25/08/2026
09 - INGENIERIA;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 0.00;$ 0.00;$ 36,947,500.00;25/08/2026
10 - DERECHO Y CIENCIAS SOCIALES;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 4,612,000.00;$ 4,612,000.00;$ 4,612,500.00;25/08/2026
10 - DERECHO Y CIENCIAS SOCIALES;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 7,686,900.00;$ 7,686,900.00;$ 4,377,500.00;25/08/2026
10 - DERECHO Y CIENCIAS SOCIALES;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 364,581,200.00;$ 364,581,200.00;$ 223,033,699.00;25/08/2026
10 - DERECHO Y CIENCIAS SOCIALES;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 1,000,000.00;$ 1,000,000.00;$ 2,995,500.00;25/08/2026
12 - SECCIONAL DUITAMA;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 90,602,928.00;$ 90,602,928.00;$ 97,255,100.00;25/08/2026
12 - SECCIONAL DUITAMA;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 205,081,160.00;$ 205,081,160.00;$ 88,863,000.00;25/08/2026
12 - SECCIONAL DUITAMA;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 3,406,788,528.00;$ 3,474,440,828.00;$ 2,902,662,292.00;25/08/2026
12 - SECCIONAL DUITAMA;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 9,540,000.00;$ 9,540,000.00;$ 12,875,100.00;25/08/2026
13 - SECCIONAL SOGAMOSO;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 105,525,765.00;$ 105,525,765.00;$ 76,814,800.00;25/08/2026
13 - SECCIONAL SOGAMOSO;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 208,353,425.00;$ 208,353,425.00;$ 104,184,500.00;25/08/2026
13 - SECCIONAL SOGAMOSO;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 4,945,268,530.00;$ 4,956,301,314.00;$ 3,763,674,265.00;25/08/2026
13 - SECCIONAL SOGAMOSO;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 0.00;$ 0.00;$ 16,895,000.00;25/08/2026
