Vigencia;Unidad;Gasto;Objeto;Tipo de Gastos;Código concepto;Código recurso;Código fuente;Concepto;Valor poa_inicial;Valor modificaciones;Valor programado_poa;Valor solicitudes;Valor disponible_poa
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.05.02;10.0;APN;Auxilio de transporte trabajadores oficiales;$ 83.676.237,00;$ 136.769.993,00;$ 220.446.230,00;$ 220.446.230,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.05.02;17;APN;Auxilio de transporte trabajadores oficiales;$ 0,00;$ 33.000.000,00;$ 33.000.000,00;$ 32.496.792,00;$ 503.208,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.06.01;10.0;APN;Prima de servicio administrativos;$ 3.759.573.552,00;$ 0,00;$ 3.759.573.552,00;$ 2.908.623.495,00;$ 850.950.057,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.06.01;10.5;APN;Prima de servicio administrativos;$ 306.234.094,00;$ 0,00;$ 306.234.094,00;$ 0,00;$ 306.234.094,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.06.01;20;ADM;Prima de servicio administrativos;$ 112.740.543,00;$ 0,00;$ 112.740.543,00;$ 0,00;$ 112.740.543,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.06.02;10.0;APN;Prima de servicio docentes;$ 6.889.893.127,00;$ 0,00;$ 6.889.893.127,00;$ 6.600.415.144,00;$ 289.477.983,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.06.02;10.5;APN;Prima de servicio docentes;$ 603.797.517,00;$ 0,00;$ 603.797.517,00;$ 0,00;$ 603.797.517,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.06.03;10.0;APN;Prima de servicio trabajadores oficiales;$ 0,00;$ 582.000.000,00;$ 582.000.000,00;$ 581.013.937,00;$ 986.063,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.06.03;10.5;APN;Prima de servicio trabajadores oficiales;$ 61.084.452,00;$ 0,00;$ 61.084.452,00;$ 9.050.462,00;$ 52.033.990,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.01;10.0;APN;Bonificación por servicios prestados administrativos;$ 1.280.588.504,00;$ 5.000.000,00;$ 1.285.588.504,00;$ 1.111.648.279,00;$ 173.940.225,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.01;10.5;APN;Bonificación por servicios prestados administrativos;$ 107.752.453,00;$ 0,00;$ 107.752.453,00;$ 0,00;$ 107.752.453,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.01;20;ADM;Bonificación por servicios prestados administrativos;$ 34.706.404,00;$ 0,00;$ 34.706.404,00;$ 0,00;$ 34.706.404,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.02;10.0;APN;Bonificación por servicios prestados docentes;$ 2.158.719.148,00;$ 0,00;$ 2.158.719.148,00;$ 2.098.312.563,00;$ 60.406.585,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.02;10.5;APN;Bonificación por servicios prestados docentes;$ 181.640.927,00;$ 0,00;$ 181.640.927,00;$ 0,00;$ 181.640.927,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.03;10.0;APN;Bonificación por servicios prestados trabajadores oficiales;$ 0,00;$ 260.742.750,00;$ 260.742.750,00;$ 260.742.750,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.03;10.5;APN;Bonificación por servicios prestados trabajadores oficiales;$ 120.105.694,00;$ 0,00;$ 120.105.694,00;$ 120.105.694,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.03;17;APN;Bonificación por servicios prestados trabajadores oficiales;$ 0,00;$ 20.000.000,00;$ 20.000.000,00;$ 17.395.346,00;$ 2.604.654,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.07.03;31;ADM;Bonificación por servicios prestados trabajadores oficiales;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.01.01;10.0;APN;Prima de navidad administrativos;$ 2.936.664.576,00;$ 0,00;$ 2.936.664.576,00;$ 52.639.664,00;$ 2.884.024.912,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.01.01;20;ADM;Prima de navidad administrativos;$ 99.131.177,00;$ 0,00;$ 99.131.177,00;$ 0,00;$ 99.131.177,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.01.02;10.0;APN;Prima de navidad docentes;$ 6.886.957.969,00;$ 0,00;$ 6.886.957.969,00;$ 108.913.525,00;$ 6.778.044.444,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.01.03;10.0;APN;Prima de navidad trabajadores oficiales;$ 0,00;$ 7.966.000,00;$ 7.966.000,00;$ 7.851.473,00;$ 114.527,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.01.03;31;ADM;Prima de navidad trabajadores oficiales;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.02.01;10.0;APN;Prima de vacaciones administrativos;$ 2.102.734.635,00;$ 0,00;$ 2.102.734.635,00;$ 148.774.599,00;$ 1.953.960.036,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.02.01;20;ADM;Prima de vacaciones administrativos;$ 94.568.259,00;$ 0,00;$ 94.568.259,00;$ 0,00;$ 94.568.259,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.02.02;10.0;APN;Prima de vacaciones docentes;$ 6.113.463.871,00;$ 0,00;$ 6.113.463.871,00;$ 345.402.568,00;$ 5.768.061.303,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.08.02.03;10.0;APN;Prima de vacaciones trabajadores oficiales;$ 1.155.251.570,00;$ 0,00;$ 1.155.251.570,00;$ 80.726.232,00;$ 1.074.525.338,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.09;10.0;APN;Prima técnica salarial;$ 661.681.179,00;$ 0,00;$ 661.681.179,00;$ 419.146.567,00;$ 242.534.612,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.09;10.5;APN;Prima técnica salarial;$ 47.172.946,00;$ 0,00;$ 47.172.946,00;$ 0,00;$ 47.172.946,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.09;20;ADM;Prima técnica salarial;$ 6.677.092,00;$ 0,00;$ 6.677.092,00;$ 0,00;$ 6.677.092,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.10;10.0;APN;Viáticos de los funcionarios en comisión;$ 82.619.330,00;$ 14.813.514,00;$ 97.432.844,00;$ 97.432.844,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.10;17;APN;Viáticos de los funcionarios en comisión;$ 4.258.029.166,00;-$ 4.003.200.000,00;$ 254.829.166,00;$ 118.873.564,00;$ 135.955.602,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.10;20;ADM;Viáticos de los funcionarios en comisión;$ 833.720,00;$ 0,00;$ 833.720,00;$ 0,00;$ 833.720,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.002.12.02.01;10.0;APN;Beneficios a los empleados a largo plazo administrativos;$ 0,00;$ 500.000,00;$ 500.000,00;$ 403.574,00;$ 96.426,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.002.12.02.01;20;ADM;Beneficios a los empleados a largo plazo administrativos;$ 9.794.878,00;$ 0,00;$ 9.794.878,00;$ 1.116.555,00;$ 8.678.323,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.002.12.02.02;10.0;APN;Beneficios a los empleados a largo plazo trabajadores oficiales;$ 970.645.026,00;$ 196.114.859,00;$ 1.166.759.885,00;$ 764.657.023,00;$ 402.102.862,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.002.12.02.02;10.5;APN;Beneficios a los empleados a largo plazo trabajadores oficiales;$ 86.405.428,00;$ 0,00;$ 86.405.428,00;$ 0,00;$ 86.405.428,00
