Unidad;Referencia;Fecha compromiso;Tipo de Gasto;Código concepto;Código recurso;Concepto;Valor compromiso;Valor pago
09 - INGENIERIA;GASTOS DIRECTOS - LIQUIDACIONES;10/08/2026;2.1.3 Transferencias Corrientes;2.1.3.07.03.013;32;Afiliación Riesgos Laborales contratistas Grado IV y V;$ 658,300.00;$ 658,300.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;27/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 18,297,000.00;$ 18,297,000.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;27/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,679,500.00;$ 12,497,500.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;27/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 18,297,000.00;$ 18,297,000.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;7/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 19,638,780.00;$ 3,659,400.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;7/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 19,638,780.00;$ 3,659,400.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;19/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 8,791,120.00;$ 0.00
13 - SECCIONAL SOGAMOSO;COMISIONES DE PERSONAL;7/05/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.010;32;Viáticos de los funcionarios en comisión;$ 609,624.00;$ 609,624.00
08 - CIENCIAS AGROPECUARIAS;ORDENES DE COMPRA;30/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.003;32;Otros bienes transportables (excepto productos metálicos, maquinaria y equipo);$ 14,225,000.00;$ 14,225,000.00
08 - CIENCIAS AGROPECUARIAS;ORDENES DE COMPRA;23/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.003;32;Otros bienes transportables (excepto productos metálicos, maquinaria y equipo);$ 13,169,791.28;$ 0.00
08 - CIENCIAS AGROPECUARIAS;ORDENES DE COMPRA;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.004;32;Productos metálicos, maquinaria y equipo;$ 2,291,940.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;ORDENES DE COMPRA;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.004;32;Productos metálicos, maquinaria y equipo;$ 6,456,940.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;ORDENES DE COMPRA;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.004;32;Productos metálicos, maquinaria y equipo;$ 3,377,220.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;CONTRATOS DE PERSONAL - OPS;19/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 16,314,290.00;$ 16,314,290.00
08 - CIENCIAS AGROPECUARIAS;CONTRATOS DE PERSONAL - OPS;30/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 17,751,300.00;$ 15,215,400.00
08 - CIENCIAS AGROPECUARIAS;CONTRATOS DE PERSONAL - OPS;12/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 0.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;CONTRATOS DE PERSONAL - OPS;12/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 8,754,525.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;CONTRATOS DE PERSONAL - OPS;13/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 5,252,715.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;CONTRATOS DE PERSONAL - OPS;26/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 8,537,530.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;CONTRATOS DE PERSONAL - OPS;28/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 9,000,000.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;ORDENES DE SERVICIOS;28/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 6,740,160.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;CONTRATOS DE PERSONAL - OPS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 10,500,000.00;$ 0.00
08 - CIENCIAS AGROPECUARIAS;GASTOS DIRECTOS - LIQUIDACIONES;3/02/2026;2.1.3 Transferencias Corrientes;2.1.3.04.05.001;32;Membresías nacionales;$ 1,355,550.00;$ 1,355,550.00
08 - CIENCIAS AGROPECUARIAS;COMISIONES DE PERSONAL;25/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.010;32;Viáticos de los funcionarios en comisión;$ 2,315,778.00;$ 2,315,778.00
08 - CIENCIAS AGROPECUARIAS;COMISIONES DE PERSONAL;25/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.010;32;Viáticos de los funcionarios en comisión;$ 963,208.00;$ 0.00
13 - SECCIONAL SOGAMOSO;ORDENES DE SERVICIOS;29/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 3,272,857.00;$ 3,272,857.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;30/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 20,213,732.00;$ 11,616,333.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;30/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 11,156,930.00;$ 11,156,930.00
13 - SECCIONAL SOGAMOSO;CONTRATOS DE PERSONAL - OPS;13/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 7,945,142.00;$ 0.00
13 - SECCIONAL SOGAMOSO;GASTOS DIRECTOS - LIQUIDACIONES;9/03/2026;2.1.3 Transferencias Corrientes;2.1.3.07.03.013;32;Afiliación Riesgos Laborales contratistas Grado IV y V;$ 89,400.00;$ 89,400.00
