Unidad;Tipo de Gasto;Auxiliar;Código concepto;Concepto;Recurso;Valor inicial;Valor apropiacion;Acumulado compromiso;Acumulado pago;Fecha final
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.08.01.02;Prima de navidad docentes ocasionales;10.0 - Aportes Nacion - Funcionamiento;$ 5,275,144,181.00;$ 4,340,810,218.12;$ 558,914,120.00;$ 558,914,120.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.08.01.03;Prima de navidad docentes catedráticos;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 415,014,904.00;$ 194,971,624.00;$ 194,971,624.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.08.02.01;Prima de vacaciones supernumerarios;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 29,303,697.00;$ 12,436,330.00;$ 12,436,330.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.08.02.02;Prima de vacaciones docentes ocasionales;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 726,130,231.00;$ 723,682,177.00;$ 723,682,177.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.08.03;Prima de vacaciones docentes catedráticos;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 100,000.00;$ 85,076.00;$ 85,076.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.02.001;Aportes a la seguridad social en pensiones;10.0 - Aportes Nacion - Funcionamiento;$ 9,107,457,505.00;$ 5,012,297,256.77;$ 4,994,509,300.00;$ 4,994,509,300.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.02.002;Aportes a la seguridad social en salud;10.0 - Aportes Nacion - Funcionamiento;$ 6,451,116,341.00;$ 6,451,116,341.00;$ 4,226,257,554.00;$ 4,226,257,554.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.02.003;Aportes de cesantías ;10.0 - Aportes Nacion - Funcionamiento;$ 6,724,129,423.00;$ 6,680,129,423.00;$ 3,926,888,137.00;$ 3,926,888,137.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.02.004;Aportes a cajas de compensación familiar;10.0 - Aportes Nacion - Funcionamiento;$ 3,438,587,289.00;$ 3,438,587,289.00;$ 1,892,229,900.00;$ 1,892,229,900.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.02.005;Aportes generales al sistema de riesgos laborales;10.0 - Aportes Nacion - Funcionamiento;$ 497,134,730.00;$ 941,134,730.00;$ 571,071,200.00;$ 571,071,200.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.02.006;Aportes al ICBF;10.0 - Aportes Nacion - Funcionamiento;$ 2,578,939,745.00;$ 2,508,974,803.00;$ 1,419,372,100.00;$ 1,419,372,100.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.03.001.01.01;Vacaciones supernumerarios;10.0 - Aportes Nacion - Funcionamiento;$ 153,607,834.00;$ 153,607,834.00;$ 9,611,855.00;$ 9,611,855.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.03.001.01.02;Vacaciones docentes ocasionales;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 921,704,352.00;$ 455,819,132.00;$ 455,819,132.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.03.001.01.03;Vacaciones docentes catedráticos;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 100,000.00;$ 75,067.00;$ 75,067.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.03.001.02;Indemnización por vacaciones;10.0 - Aportes Nacion - Funcionamiento;$ 3,009,533,543.00;$ 0.00;$ 0.00;$ 0.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.03.001.03;Bonificación especial de recreación;10.0 - Aportes Nacion - Funcionamiento;$ 278,686,426.00;$ 128,686,426.00;$ 11,982,931.00;$ 11,982,931.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.03.090;Bonificación por productividad académica;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 252,366,166.00;$ 232,492,421.00;$ 232,492,421.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.01.001;"Minerales; electricidad, gas y agua";10.0 - Aportes Nacion - Funcionamiento;$ 90,853,819.00;$ 690,853,819.00;$ 242,653,796.00;$ 235,467,286.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.01.002;"Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero";10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 2,744,206,876.00;$ 189,564,634.00;$ 158,719,106.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.01.003;Otros bienes transportables (excepto productos metálicos, maquinaria y equipo);10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 377,652,340.00;$ 375,980,633.92;$ 236,448,710.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.2 Gastos de Funcionamiento; - N/A;2.1.2.02.01.004;Productos metálicos, maquinaria y equipo;10.0 - Aportes Nacion - Funcionamiento;$ 84,356,098.00;$ 2,032,259,448.51;$ 1,910,816,068.23;$ 1,897,423,100.51;31/08/2026
